StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartition1;ResponseTimeRepartition1_<10;ResponseTimeRepartition1_<50;ResponseTimeRepartition1_<100;ResponseTimeRepartition1_<150;ResponseTimeRepartition1_<200;ResponseTimeRepartition1_<500;ResponseTimeRepartition1_<1000;ResponseTimeRepartition1_>=1000;CallLengthRepartition;CallLengthRepartition_<10;CallLengthRepartition_<50;CallLengthRepartition_<100;CallLengthRepartition_<150;CallLengthRepartition_<200;CallLengthRepartition_<500;CallLengthRepartition_<1000;CallLengthRepartition_>=1000;
2019-06-15	22:16:34.093199	1560636994.093199;2019-06-15	22:18:09.172704	1560637089.172704;2019-06-15	22:18:14.132644	1560637094.132644;00:00:04;00:01:40;3900;617.463;477.394;0;0;3062;47758;47758;100;3061;47658;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67;164;172;1220;0;0;67;166;0;0;0;0;0;2;00:00:00:074000;00:00:00:120000;00:00:00:130000;00:00:01:082000;00:00:00:152000;00:00:00:194000;00:00:00:197000;00:00:01:089000;;205;10621;30280;3292;1941;1070;73;212;;53;203;8612;27060;5412;5735;286;297;
2019-06-15	22:16:34.093199	1560636994.093199;2019-06-15	22:18:14.134406	1560637094.134406;2019-06-15	22:18:19.141366	1560637099.141366;00:00:05;00:01:45;4100;848.382;495.059;0;0;4247;52005;52005;91;4256;51914;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;164;0;1220;0;0;0;166;0;0;0;0;0;2;00:00:00:051000;00:00:00:114000;00:00:00:011000;00:00:01:037000;00:00:00:107000;00:00:00:187000;00:00:00:016000;00:00:01:044000;;205;11805;33378;3296;1941;1070;73;212;;53;203;9659;30168;5513;5735;286;297;
2019-06-15	22:16:34.093199	1560636994.093199;2019-06-15	22:18:19.142661	1560637099.142661;2019-06-15	22:18:24.151982	1560637104.151982;00:00:05;00:01:50;4300;900.18;513.493;0;0;4509;56514;56514;83;4517;56431;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;164;0;1220;0;0;0;166;0;0;0;0;0;2;00:00:00:048000;00:00:00:109000;00:00:00:012000;00:00:00:995000;00:00:00:101000;00:00:00:180000;00:00:00:018000;00:00:01:002000;;205;13867;35802;3306;1941;1070;73;212;;53;221;11761;32508;5570;5735;286;297;
2019-06-15	22:16:34.093199	1560636994.093199;2019-06-15	22:18:24.153083	1560637104.153083;2019-06-15	22:18:29.161079	1560637109.161079;00:00:05;00:01:55;4500;736.169;523.173;0;0;3686;60200;60200;90;3679;60110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;164;0;1220;0;0;0;166;0;0;0;0;0;2;00:00:00:061000;00:00:00:106000;00:00:00:021000;00:00:00:964000;00:00:00:126000;00:00:00:176000;00:00:00:037000;00:00:00:971000;;205;14508;38526;3606;1973;1070;73;212;;53;221;12297;34813;6212;5931;286;297;
2019-06-15	22:16:34.093199	1560636994.093199;2019-06-15	22:18:29.162723	1560637109.162723;2019-06-15	22:18:34.170755	1560637114.170755;00:00:05;00:02:00;4700;665.335;529.094;0;0;3332;63532;63532;94;3328;63438;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;164;0;1220;0;0;0;166;0;0;0;0;0;2;00:00:00:069000;00:00:00:104000;00:00:00:024000;00:00:00:939000;00:00:00:140000;00:00:00:175000;00:00:00:039000;00:00:00:945000;;205;14912;40894;4126;1973;1070;73;212;;53;221;12657;36304;7319;6301;286;297;
2019-06-15	22:16:34.093199	1560636994.093199;2019-06-15	22:18:34.171893	1560637114.171893;2019-06-15	22:18:39.184425	1560637119.184425;00:00:05;00:02:05;4900;521.149;528.767;0;0;2612;66144;66144;100;2606;66044;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;164;0;1220;0;0;0;166;0;0;0;0;0;2;00:00:00:085000;00:00:00:103000;00:00:00:055000;00:00:00:920000;00:00:00:178000;00:00:00:175000;00:00:00:084000;00:00:00:926000;;205;15062;42676;4596;2040;1199;73;212;;53;221;12719;37384;8117;6967;286;297;
2019-06-15	22:16:34.093199	1560636994.093199;2019-06-15	22:18:39.188139	1560637119.188139;2019-06-15	22:18:44.146760	1560637124.146760;00:00:04;00:02:10;5100;416.7;524.478;0;0;2066;68210;68210;100;2066;68110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;164;0;1220;0;0;0;166;0;0;0;0;0;2;00:00:00:115000;00:00:00:104000;00:00:00:060000;00:00:00:906000;00:00:00:232000;00:00:00:176000;00:00:00:093000;00:00:00:912000;;205;15105;43671;5140;2344;1410;73;212;;53;221;12719;37738;8636;8112;334;297;
2019-06-15	22:16:34.093199	1560636994.093199;2019-06-15	22:18:44.148380	1560637124.148380;2019-06-15	22:18:49.161603	1560637129.161603;00:00:05;00:02:15;5300;507.082;523.825;0;0;2542;70752;70752;97;2545;70655;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;164;0;1220;0;0;0;166;0;0;0;0;0;2;00:00:00:091000;00:00:00:103000;00:00:00:038000;00:00:00:889000;00:00:00:188000;00:00:00:177000;00:00:00:071000;00:00:00:896000;;205;15125;45209;5815;2649;1421;73;212;;53;221;12720;38580;9441;9009;334;297;
2019-06-15	22:16:34.093199	1560636994.093199;2019-06-15	22:18:49.163065	1560637129.163065;2019-06-15	22:18:54.187773	1560637134.187773;00:00:05;00:02:20;5500;436.505;520.686;0;0;2193;72945;72945;99;2191;72846;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;164;0;1220;0;0;0;166;0;0;0;0;0;2;00:00:00:109000;00:00:00:103000;00:00:00:052000;00:00:00:876000;00:00:00:221000;00:00:00:178000;00:00:00:093000;00:00:00:882000;;205;15367;45849;6619;2981;1595;73;212;;53;221;12969;38946;9678;10348;334;297;
2019-06-15	22:16:34.093199	1560636994.093199;2019-06-15	22:18:54.188742	1560637134.188742;2019-06-15	22:18:59.197240	1560637139.197240;00:00:05;00:02:25;5700;811.502;530.716;0;0;4064;77009;77009;95;4068;76914;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;164;0;1220;0;0;0;166;0;0;0;0;0;2;00:00:00:055000;00:00:00:101000;00:00:00:036000;00:00:00:852000;00:00:00:113000;00:00:00:175000;00:00:00:043000;00:00:00:859000;;205;16740;48414;6703;2981;1658;73;212;;53;221;14239;41497;9832;10441;334;297;
